ID;SESSÃO;NOME_SISTEMA;NOME_CORRIGIDO;SESSÃO_CORRETA
225670;#01 MERCEARIA - #01 ALTO GIRO;ARROZ BENTO TIPO 1 5KG;ARROZ BENTO PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
100038;#01 MERCEARIA - #01 ALTO GIRO;ARROZ BREJEIRO 5KG BRANCO TIPO 1;ARROZ BREJEIRO PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
258938;#01 MERCEARIA - #01 ALTO GIRO;ARROZ BRILHANTE TIPO1 BRANCO 5KG;ARROZ BRILHANTE PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
273799;#01 MERCEARIA - #01 ALTO GIRO;ARROZ DELLARROZ BRANCO 5KG POLIDO;ARROZ DELLARROZ PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
269680;#01 MERCEARIA - #01 ALTO GIRO;ARROZ DONA VAVA 5KG TIPO 1;ARROZ DONA VAVA PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
100028;#01 MERCEARIA - #01 ALTO GIRO;ARROZ DOURA 5KG BRANCO TIPO 1;ARROZ DOURA 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
325990;#01 MERCEARIA - #01 ALTO GIRO;ARROZ BRANCO FLORA 5KG TIPO 1;ARROZ FLORA PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
325991;#01 MERCEARIA - #01 ALTO GIRO;ARROZ PARBOLIZADO FLORA 5KG TIPO 1;ARROZ FLORA PCT 5KG TIPO 1 PARBOLIZADO;#01 MERCEARIA - CEREAIS E GRÃOS
136523;#01 MERCEARIA - #01 ALTO GIRO;ARROZ KOBLENZ TP1 BRANCO 5KG;ARROZ KOBLENS PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
141640;#01 MERCEARIA - #01 ALTO GIRO;ARROZ MEU BIJU POLIDO T1 5KG;ARROZ MEU BIJU PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
100037;#01 MERCEARIA - #01 ALTO GIRO;ARROZ PAINHO 5KG BRANCO TIPO 1 BRANCO TI;ARROZ PAINHO PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
148775;#01 MERCEARIA - #01 ALTO GIRO;ARROZ BRANCO PIANTA 5KG TIPO 1;ARROZ PIANTA PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
199439;#01 MERCEARIA - #01 ALTO GIRO;ARROZ RACHA PANELA 5 KG TP 1;ARROZ RACHA PANELA PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
225003;#01 MERCEARIA - #01 ALTO GIRO;ARROZ RAMPINELLI 5KG TIPO1;ARROZ RAMPINELLI PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
100020;#01 MERCEARIA - #01 ALTO GIRO;ARROZ REALENGO 5KG BRANCO TIPO 1;ARROZ REALENGO PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
100031;#01 MERCEARIA - #01 ALTO GIRO;ARROZ REI ARTHUR 5 KG BRANCO TIPO 1;ARROZ REI ARTHUR PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
199440;#01 MERCEARIA - #01 ALTO GIRO;ARROZ SANTA FE 5 KG TP1;ARROZ SANTA FE PCT 5KG TIPO 1 BRANCO;#01 MERCEARIA - CEREAIS E GRÃOS
